               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.031212,            0.018398,           0.0052455,             0.92196,             0.85368,             0.91401,             0.61202,            0.024327,            0.012824,           0.0053749,            0.006139,            0.006139,            0.006139
                 119,            0.031341,             0.01841,           0.0052506,             0.92171,             0.85452,             0.91393,             0.61212,            0.024324,            0.012824,            0.005371,            0.006106,            0.006106,            0.006106
                 120,            0.031288,            0.018504,           0.0052408,             0.92195,              0.8545,             0.91414,             0.61238,            0.024318,            0.012827,           0.0053633,            0.006073,            0.006073,            0.006073
                 121,            0.031167,            0.018328,           0.0052491,             0.92205,             0.85405,              0.9142,             0.61265,            0.024312,            0.012828,           0.0053624,             0.00604,             0.00604,             0.00604
                 122,             0.03112,            0.018353,           0.0052724,             0.92103,             0.85506,             0.91427,             0.61248,            0.024308,            0.012829,           0.0053509,            0.006007,            0.006007,            0.006007
                 123,            0.031129,             0.01846,           0.0052539,             0.92096,             0.85519,             0.91416,              0.6129,            0.024305,            0.012831,           0.0053534,            0.005974,            0.005974,            0.005974
                 124,            0.031114,            0.018326,           0.0052045,             0.92172,             0.85578,             0.91457,             0.61294,            0.024306,            0.012832,           0.0053582,            0.005941,            0.005941,            0.005941
                 125,             0.03107,            0.018369,           0.0051555,              0.9209,             0.85658,             0.91418,             0.61316,             0.02431,            0.012835,            0.005352,            0.005908,            0.005908,            0.005908
                 126,            0.031021,            0.018333,           0.0052328,             0.92152,             0.85697,              0.9146,             0.61297,            0.024314,            0.012837,           0.0053535,            0.005875,            0.005875,            0.005875
                 127,            0.031051,            0.018267,           0.0052521,              0.9219,             0.85677,             0.91459,             0.61309,            0.024317,             0.01284,           0.0053617,            0.005842,            0.005842,            0.005842
                 128,            0.031007,            0.018317,           0.0052588,             0.92076,             0.85728,             0.91467,             0.61299,            0.024313,            0.012841,           0.0053725,            0.005809,            0.005809,            0.005809
                 129,            0.031108,            0.018324,           0.0051723,             0.92095,             0.85749,             0.91472,             0.61315,            0.024313,            0.012845,           0.0053753,            0.005776,            0.005776,            0.005776
                 130,            0.030988,            0.018443,           0.0050964,             0.92129,             0.85761,             0.91513,             0.61349,            0.024312,            0.012848,           0.0053613,            0.005743,            0.005743,            0.005743
                 131,            0.030927,            0.018285,           0.0051596,             0.92143,             0.85779,             0.91504,             0.61364,            0.024307,            0.012849,            0.005348,             0.00571,             0.00571,             0.00571
                 132,            0.030959,            0.018284,           0.0051888,             0.92156,             0.85778,             0.91531,             0.61416,            0.024301,            0.012851,           0.0053442,            0.005677,            0.005677,            0.005677
                 133,            0.030912,            0.018254,           0.0050907,             0.92149,              0.8582,             0.91515,             0.61447,            0.024293,            0.012851,           0.0053388,            0.005644,            0.005644,            0.005644
                 134,            0.030914,            0.018187,           0.0052055,             0.92213,             0.85847,             0.91515,             0.61436,            0.024296,            0.012852,           0.0053365,            0.005611,            0.005611,            0.005611
                 135,            0.030727,            0.018084,           0.0051155,             0.92264,             0.85847,             0.91544,             0.61451,            0.024301,            0.012854,           0.0053391,            0.005578,            0.005578,            0.005578
                 136,            0.030914,            0.018111,           0.0051489,             0.92424,             0.85764,              0.9155,             0.61425,            0.024299,            0.012854,            0.005326,            0.005545,            0.005545,            0.005545
                 137,            0.030785,            0.018071,           0.0051174,             0.92435,             0.85691,             0.91523,             0.61425,            0.024303,            0.012857,           0.0053396,            0.005512,            0.005512,            0.005512
                 138,            0.030725,            0.018167,           0.0051111,             0.92527,             0.85715,             0.91526,             0.61422,            0.024308,            0.012858,           0.0053492,            0.005479,            0.005479,            0.005479
                 139,            0.030726,            0.018135,           0.0050735,             0.92431,              0.8584,             0.91498,             0.61425,            0.024307,            0.012858,           0.0053577,            0.005446,            0.005446,            0.005446
                 140,            0.030697,            0.018269,           0.0050415,             0.92282,              0.8591,             0.91467,             0.61386,            0.024309,            0.012859,           0.0053703,            0.005413,            0.005413,            0.005413
                 141,            0.030618,            0.018051,           0.0050572,             0.92239,             0.85888,             0.91462,             0.61396,            0.024307,             0.01286,           0.0053792,             0.00538,             0.00538,             0.00538
                 142,            0.030617,            0.018126,           0.0049707,             0.92306,             0.85898,             0.91444,             0.61386,            0.024303,            0.012861,           0.0053892,            0.005347,            0.005347,            0.005347
                 143,            0.030694,            0.018094,           0.0051037,             0.92205,             0.85946,             0.91425,             0.61371,            0.024299,            0.012862,           0.0053783,            0.005314,            0.005314,            0.005314
                 144,            0.030648,            0.018118,           0.0050172,             0.92132,              0.8599,             0.91423,             0.61362,            0.024296,            0.012865,           0.0053757,            0.005281,            0.005281,            0.005281
                 145,             0.03066,             0.01813,           0.0050569,             0.92301,               0.859,             0.91416,             0.61327,            0.024289,            0.012865,           0.0053906,            0.005248,            0.005248,            0.005248
                 146,            0.030601,            0.018056,           0.0050112,             0.92258,             0.85959,             0.91419,             0.61357,            0.024286,            0.012866,           0.0053993,            0.005215,            0.005215,            0.005215
                 147,            0.030611,            0.018076,            0.004993,             0.92257,             0.85916,             0.91428,             0.61342,            0.024277,            0.012864,            0.005374,            0.005182,            0.005182,            0.005182
                 148,            0.030564,            0.018048,           0.0050434,             0.92185,             0.85926,             0.91413,             0.61332,            0.024272,            0.012862,            0.005371,            0.005149,            0.005149,            0.005149
                 149,             0.03053,            0.018013,           0.0050459,             0.92225,              0.8594,             0.91427,             0.61329,            0.024261,            0.012863,           0.0053487,            0.005116,            0.005116,            0.005116
                 150,            0.030508,            0.018147,           0.0049997,             0.92345,             0.85821,             0.91445,             0.61365,            0.024255,            0.012862,           0.0053368,            0.005083,            0.005083,            0.005083
                 151,            0.030401,            0.017993,            0.004962,             0.92326,             0.85784,              0.9144,             0.61362,            0.024239,            0.012861,            0.005334,             0.00505,             0.00505,             0.00505
                 152,            0.030389,            0.018105,           0.0049332,             0.92333,             0.85866,             0.91431,             0.61357,            0.024234,            0.012864,           0.0053274,            0.005017,            0.005017,            0.005017
                 153,            0.030402,            0.017989,           0.0049768,             0.92354,             0.85889,             0.91426,             0.61384,            0.024228,            0.012865,           0.0053236,            0.004984,            0.004984,            0.004984
                 154,            0.030351,            0.017925,           0.0048988,              0.9236,             0.85882,             0.91449,             0.61411,            0.024218,            0.012866,           0.0052999,            0.004951,            0.004951,            0.004951
                 155,            0.030309,            0.017921,           0.0049222,             0.92491,             0.85842,             0.91415,             0.61427,            0.024215,            0.012867,           0.0052839,            0.004918,            0.004918,            0.004918
                 156,            0.030225,            0.017893,             0.00496,             0.92402,             0.85928,             0.91393,              0.6141,            0.024216,            0.012869,           0.0052664,            0.004885,            0.004885,            0.004885
                 157,            0.030298,             0.01789,           0.0049163,             0.92385,             0.85956,             0.91395,             0.61445,            0.024218,            0.012871,           0.0052499,            0.004852,            0.004852,            0.004852
                 158,            0.030268,            0.017969,           0.0049178,             0.92301,             0.85959,             0.91385,             0.61462,            0.024222,            0.012875,           0.0052403,            0.004819,            0.004819,            0.004819
                 159,            0.030233,            0.017976,           0.0048923,             0.92306,             0.85903,             0.91386,              0.6146,            0.024226,            0.012876,           0.0052388,            0.004786,            0.004786,            0.004786
                 160,            0.030243,            0.017838,           0.0049255,             0.92248,             0.86012,             0.91352,             0.61414,            0.024224,            0.012879,           0.0052288,            0.004753,            0.004753,            0.004753
